
divvy_start
,mi_flm_count,mi_fm_count,mi_lm_count,ms_count,none_count,median_age,housing_units,prop_commute_drove,prop_commute_carpooled,prop_commute_pubtransit,prop_commute_walked,mean_commute_time,median_household_income,unemployment_rate,prop_no_vehicles,avg_household_size,households_with_children,prop_hs_grad,prop_college_grad,prop_same_house,prop_internet_subscription,urban_group,avg_vehicle_miles,num_streets,prop_prim_sec_roads,intersection_density,street_network_density,connected_node_ratio,avg_traffic,num_intersections,num_jobs,dock_count,stop_count
sum,251066.0,93952.0,271071.0,992673.0,2290744.0,12297.399999999998,652461.0,131.3340971532084,19.816265268495325,76.09187300296938,24.40411933433619,10928.4,31636124.0,2341.7000000000003,187007.0,731.4799999999999,242206.0,310.00094971641647,195.95137897382136,276.3028802980304,306.36786907028716,366.0,7562.700000000001,49898.0,12.3666443526745,116023.69645692481,19849938.03320325,222.9367249310015,6335960.90136723,24322.0,1158819.0,636.0,4808.0
mean,734.1111111111111,274.7134502923977,792.6052631578947,2902.5526315789475,6698.081871345029,35.957309941520464,1907.780701754386,0.3840178279333579,0.05794229610671148,0.2224908567338286,0.07135707407700641,32.04809384164223,93875.73887240356,7.6526143790849686,546.8040935672515,2.138830409356725,708.2046783625731,0.9064355254865979,0.572957248461466,0.8079031587661708,0.8958124826616584,1.105740181268882,24.161980830670927,145.90058479532163,0.03615977880898977,339.2505744354527,58040.75448305044,0.651861768804098,21049.703991253256,80.80398671096346,3398.2961876832846,1.8596491228070176,14.058479532163743
std,3209.211613190061,1054.1502921640658,2666.3337255129927,7261.201109321221,10902.138475112157,6.454000719994061,1233.5977240288364,0.14154686289442023,0.05659482006241925,0.09534383745005641,0.09725870611582046,5.504375601976889,46646.94178011632,6.252743111731103,574.3700562425937,0.43227534183049426,480.93631086664016,0.09253796253941957,0.2571068368460518,0.1004624215163727,0.07533763455708165,0.4166936730238999,6.827273776375169,91.34666365847109,0.05904167459943313,165.35785154379323,18881.43319567055,0.14704330356211842,35118.962910481925,51.3772139901191,18869.900243594064,1.7032512965394893,10.285204247869897
median,2.0,23.0,19.0,376.0,2863.0,34.75,1663.0,0.3866484308928355,0.0424573076677345,0.21339545740623678,0.0364430548020394,32.1,86473.0,5.45,361.5,2.14,566.5,0.9357366149925919,0.6066189533526216,0.82234408007073,0.9116042873437253,1.0,24.94,119.5,0.0,337.8690185547,60410.0859375,0.6666666865349,14700.0,67.0,723.0,1.0,12.0
max,41061.0,15960.0,22017.0,69645.0,101654.0,63.3,8308.0,1.0,0.4418367346938776,0.5201698513800425,0.6297846889952153,53.9,242250.0,36.5,3823.0,3.52,2458.0,1.0,0.9445165476963012,0.9961434631700732,1.0,3.0,56.9,593.0,0.2884615361691,904.8806152344,107026.8828125,0.939849615097,285850.0,325.0,328146.0,17.0,91.0
min,0.0,0.0,0.0,0.0,67.0,19.8,159.0,0.0909090909090909,0.0,0.0,0.0,13.0,14074.0,0.0,0.0,1.3,43.0,0.5611439842209073,0.0370994940978077,0.4463990554899645,0.5670934091986723,1.0,9.76,17.0,0.0,33.0438308716,11410.14160157,0.2115384638309,1150.0,6.0,25.0,0.0,1.0

-----

citi_start
,mi_flm_count,mi_fm_count,mi_lm_count,ms_count,none_count,median_age,housing_units,prop_commute_drove,prop_commute_carpooled,prop_commute_pubtransit,prop_commute_walked,mean_commute_time,median_household_income,unemployment_rate,prop_no_vehicles,avg_household_size,households_with_children,prop_hs_grad,prop_college_grad,prop_same_house,prop_internet_subscription,urban_group,avg_vehicle_miles,num_streets,prop_prim_sec_roads,intersection_density,street_network_density,connected_node_ratio,avg_traffic,num_intersections,num_jobs,dock_count,stop_count
sum,2724637.0,2205434.0,2764704.0,5183021.0,17917871.0,35747.6,2007393.0,97.20775580841304,19.86888744875176,376.5116657022423,75.32259622385779,27405.899999999998,62674188.0,29836.699999999997,1243962.0,2275.6499999999996,1028217.0,804.611715549645,446.7830197901411,829.7879473409705,850.4795215869976,880.0,5961.6,44586.0,48.2829500529916,265032.6543256515,58478598.69445827,604.2656378261746,12923453.72412126,15678.0,3313871.0,2132.0,5061.0
mean,2754.941354903943,2229.963599595551,2795.453993933266,5240.668351870577,18117.159757330635,37.23708333333333,2029.7199191102122,0.13557567058356074,0.027711140095888088,0.5251208726670046,0.105052435458658,38.654301833568404,90049.12068965517,45.55221374045801,1257.7977755308393,2.3878803777544593,1039.6531850353892,0.8372650526010874,0.4649146928097202,0.863463004517139,0.8905544728659661,1.0316529894490034,10.458947368421054,45.08190091001011,0.04881996971991062,267.98043915637163,59129.01789126215,0.6109864892074567,16154.317155151575,19.5975,3374.6140529531567,2.155712841253792,5.912383177570093
std,7577.626413551865,6217.204212776835,6937.669456744773,13642.149054200503,27644.04439833513,6.3560419994836845,1292.1297923274722,0.09810031923477384,0.033113629677961914,0.13900368023077786,0.09833331924303888,7.551390729416393,48546.060308109976,336.6717140164765,908.2292474625907,0.5792792159617288,740.3887889125796,0.1271162348307372,0.2654476704321097,0.10301848755928779,0.09315788937657912,0.17517720499900655,3.5275796549732386,42.752351144313565,0.09063164584016731,134.05803493694793,16347.304691624659,0.15281483368415788,24073.975072294645,18.132746327065355,8372.438048219909,1.4488653324117082,4.200031848712127
median,15.0,310.0,28.0,84.0,8988.0,36.4,1819.0,0.117408906882591,0.0183323477232406,0.5302568567696996,0.0725413826679649,39.7,81173.0,7.7,1118.0,2.31,905.0,0.8657999118554429,0.4250806823420931,0.8864013266998342,0.9081920903954802,1.0,9.93,37.0,0.0,247.5224914551,60067.046875,0.6363636255264,9781.0,16.0,833.5,2.0,5.0
max,79317.0,68258.0,71203.0,145875.0,390532.0,68.4,8958.0,1.0,0.312242090784044,1.0,0.5976331360946746,61.8,244014.0,5217.0,5962.0,6.63,6436.0,1.0,1.0,1.0,1.0,2.0,34.49,1039.0,0.7037037014961,1142.0408935547,136017.421875,0.9534883499146,299600.0,425.0,77398.0,13.0,60.0
min,0.0,0.0,0.0,0.0,33.0,13.9,0.0,0.0,0.0,0.0,0.0,13.4,11612.0,0.0,0.0,1.02,0.0,0.2979942693409742,0.0,0.0454545454545454,0.0,1.0,4.66,10.0,0.0,0.0,2044.45935059,0.0,299.0,0.0,11.0,0.0,1.0

-----

metro_start
,mi_flm_count,mi_fm_count,mi_lm_count,ms_count,none_count,median_age,housing_units,prop_commute_drove,prop_commute_carpooled,prop_commute_pubtransit,prop_commute_walked,mean_commute_time,median_household_income,unemployment_rate,prop_no_vehicles,avg_household_size,households_with_children,prop_hs_grad,prop_college_grad,prop_same_house,prop_internet_subscription,urban_group,avg_vehicle_miles,num_streets,prop_prim_sec_roads,intersection_density,street_network_density,connected_node_ratio,avg_traffic,num_intersections,num_jobs,dock_count,stop_count
sum,5958.0,16451.0,17223.0,22657.0,265246.0,4976.700000000001,238090.0,46.11691795819658,6.0584999357889355,11.966407865358365,8.410689076989366,2919.5,6902570.0,819.9000000000001,37497.0,278.26,73004.0,118.58097693699094,74.35558153083662,111.33013622011384,122.5537197435386,102.0,2723.96,13944.0,9.9043247215454,28148.6344394752,6747785.40136721,86.11055448651291,2225083.39660649,5065.0,661510.0,224.0,1155.0
mean,42.86330935251799,118.35251798561151,123.90647482014388,163.0,1908.2446043165467,36.06304347826087,1712.8776978417266,0.4705807954918018,0.06182142791621363,0.12210620270773842,0.08582335792846292,29.790816326530614,70434.38775510204,8.540625,269.76258992805754,2.031094890510949,525.2086330935252,0.8592824415723981,0.5388085618176567,0.8067401175370569,0.894552698857946,1.0303030303030303,28.673263157894738,100.31654676258992,0.07125413468737699,202.5081614350734,48545.21871487201,0.6195003919893015,22704.932618433573,51.683673469387756,4759.064748201439,1.6115107913669064,9.24
std,115.62384046822264,284.46916909201894,302.1624453229918,459.0782194726765,2663.9071387874983,6.3044078669483605,801.8957652133633,0.12271453475664623,0.04503579713138485,0.11338520419595907,0.10171785315170186,5.106718573063623,34547.198565056715,4.177598860211701,228.0306546495675,0.4729874995738396,373.54541998864715,0.14532359904069828,0.2001268026625677,0.12574776568320564,0.0878880108333901,0.1722921969015792,6.8014977139903126,87.71949992019796,0.08308003271587602,87.26029592822117,10585.706143213416,0.12634995256634213,12025.637232805031,43.986782677118256,11696.756764168653,1.0391662723305493,9.219894338489093
median,0.0,41.0,0.0,0.0,994.0,36.0,1637.0,0.47677165936797256,0.0545309043078305,0.0834679391589621,0.05159512498198985,29.95,62562.5,8.6,211.0,1.99,476.0,0.9108825224133501,0.5592147639745164,0.8367668297264839,0.9151785714285714,1.0,29.96,78.0,0.0512820519507,180.5860443116,48070.80859375,0.6288659572601,21373.250000005,42.5,1503.0,1.0,7.0
max,774.0,2732.0,1840.0,3922.0,16108.0,65.3,5451.0,0.6929379633242294,0.2367797947908445,0.6065318818040435,0.5001478852410529,42.1,166016.0,22.8,1117.0,3.79,2178.0,1.0,0.9173166926677068,0.9601178781925344,1.0,2.0,41.41,566.0,0.3823529481888,505.995666504,84947.5546875,0.8730158805847,53154.0,221.0,113389.0,6.0,51.0
min,0.0,0.0,0.0,0.0,75.0,19.5,0.0,0.1472772277227722,0.0,0.0,0.0,15.9,11270.0,0.0,0.0,1.14,0.0,0.3005068790731354,0.0156985871271585,0.3049119555143652,0.5484154929577465,1.0,14.29,15.0,0.0,29.7313671112,11519.85058594,0.210526317358,585.5,2.0,52.0,1.0,1.0

-----

divvy_end
,mi_flm_count,mi_fm_count,mi_lm_count,ms_count,none_count,median_age,housing_units,prop_commute_drove,prop_commute_carpooled,prop_commute_pubtransit,prop_commute_walked,mean_commute_time,median_household_income,unemployment_rate,prop_no_vehicles,avg_household_size,households_with_children,prop_hs_grad,prop_college_grad,prop_same_house,prop_internet_subscription,urban_group,avg_vehicle_miles,num_streets,prop_prim_sec_roads,intersection_density,street_network_density,connected_node_ratio,avg_traffic,num_intersections,num_jobs,dock_count,stop_count
sum,251082.0,93978.0,271170.0,992886.0,2291249.0,11844.8,631525.0,127.8624687779943,19.463581540165485,72.68160117527907,23.469990496121618,10578.6,30298391.0,2307.1,179484.0,712.02,240536.0,298.2930813713251,185.5822793817386,267.4001150547116,295.3096735335862,354.0,7283.529999999999,48999.0,12.077620067633699,111080.48089601111,19030291.26953138,216.041655629873,6162909.90136723,24046.0,1140297.0,637.0,4734.0
mean,760.8545454545455,284.7818181818182,821.7272727272727,3008.7454545454543,6943.178787878788,35.89333333333333,1913.7121212121212,0.3874620265999827,0.05898055012171359,0.22024727628872445,0.07112118332158066,32.15379939209726,92939.84969325154,7.768013468013468,543.8909090909091,2.157636363636364,728.8969696969697,0.9039184283979549,0.5623705435810261,0.8103033789536714,0.8948777985866249,1.109717868338558,24.197774086378733,148.48181818181817,0.03659884868979909,336.60751786670033,57667.54930161024,0.6546716837268879,20962.278576079014,81.78911564625851,3465.9483282674773,1.9303030303030304,14.345454545454546
std,3237.0271245262197,1028.8303482026092,2840.647497495776,9775.955642559107,11364.22807283196,6.409971651690922,1240.9899245609322,0.14063904922100576,0.05620898415766234,0.09417063408952556,0.09765539126300164,5.545723948969184,47318.53863604818,6.2871829423971235,577.4088437714064,0.445098794960726,490.63022090837507,0.0944404524603391,0.2622467763883023,0.10156251493017145,0.07543799966228971,0.42396701918777097,6.809802250833688,91.0521476374354,0.05966652077778514,163.56349646552047,18974.729390385535,0.14635027712528811,35519.92757702259,51.09299976663942,19201.870828579278,1.689766237764461,10.302214207339869
median,2.0,7.5,75.0,72.0,2865.0,34.7,1663.0,0.39015413917486585,0.043901965047117394,0.20759275841140665,0.0364430548020394,32.1,84937.5,5.6,355.0,2.15,582.0,0.9343453628581058,0.5971901610665515,0.8249398380383267,0.9100640881687367,1.0,24.88,123.0,0.0,337.8690185547,60360.80078125,0.66922852396965,14550.0,67.5,710.0,1.0,12.5
max,36100.0,9706.0,40168.0,80800.0,110885.0,63.3,8308.0,1.0,0.4418367346938776,0.5201698513800425,0.6297846889952153,53.9,242250.0,36.5,3823.0,3.52,2458.0,1.0,0.9445165476963012,0.9961434631700732,1.0,3.0,56.9,593.0,0.2884615361691,904.8806152344,107026.8828125,0.939849615097,285850.0,325.0,328146.0,17.0,91.0
min,0.0,0.0,0.0,0.0,10.0,19.8,159.0,0.0909090909090909,0.0,0.0,0.0,13.0,14074.0,0.0,0.0,1.3,43.0,0.5611439842209073,0.0370994940978077,0.4463990554899645,0.5670934091986723,1.0,9.76,17.0,0.0,33.0438308716,11410.14160157,0.2115384638309,800.0,6.0,25.0,0.0,1.0

-----

citi_end
,mi_flm_count,mi_fm_count,mi_lm_count,ms_count,none_count,median_age,housing_units,prop_commute_drove,prop_commute_carpooled,prop_commute_pubtransit,prop_commute_walked,mean_commute_time,median_household_income,unemployment_rate,prop_no_vehicles,avg_household_size,households_with_children,prop_hs_grad,prop_college_grad,prop_same_house,prop_internet_subscription,urban_group,avg_vehicle_miles,num_streets,prop_prim_sec_roads,intersection_density,street_network_density,connected_node_ratio,avg_traffic,num_intersections,num_jobs,dock_count,stop_count
sum,2724744.0,2205597.0,2764876.0,5183262.0,17919699.0,32981.09999999999,1867662.0,91.58852596330681,19.01277363614329,349.2605378144347,69.1244387523598,25458.600000000002,57940204.0,26627.800000000003,1157304.0,2099.7,955118.0,741.1191107391305,408.6955807560149,766.0572158409589,784.998224398441,818.0,5631.280000000001,42259.0,44.730526695028196,244839.8207685191,53845025.35461451,561.0729064606128,11903859.40771501,14980.0,3108426.0,2124.0,4765.0
mean,2984.385542168675,2415.7688937568455,3028.341730558598,5677.176341730558,19627.271631982476,37.224717832957104,2045.631982475356,0.13752030925421443,0.02854770816237731,0.5244152219435957,0.1037904485771168,38.690881458966565,89690.71826625387,43.58068739770868,1267.5837897042716,2.3887372013651875,1046.13143483023,0.8355345104161561,0.4607616468500732,0.8636496232705286,0.8910309017008411,1.0315258511979823,10.525757009345796,46.285870755750274,0.0489929098521667,268.17066896880516,58975.93138511995,0.6145376850609121,15893.003214572776,20.0,3430.933774834437,2.3263964950711937,6.024020227560051
std,8133.88347212058,5873.120744439721,7456.401363618571,15017.726613314238,29179.279354156257,6.293209386598274,1307.5858884381807,0.09963475856982386,0.033826527518540234,0.13889449824304442,0.09666131251066132,7.547199556103954,48279.06428363591,329.519759929187,921.0457918593681,0.5769739794821324,745.1133481327472,0.1272029985567971,0.2649200402930316,0.102967793731942,0.09284867450710547,0.1748442803576973,3.5505060219644777,43.958393253464806,0.08837793040145069,132.84969813207474,16217.761416808924,0.15164294749391471,23845.109625815,18.535411981561218,8531.08689881702,1.37359730864016,4.290487508176451
median,0.0,4.0,596.0,6.0,9735.0,36.349999999999994,1841.0,0.11829648727474504,0.0188808389536844,0.529834310737791,0.0708644278606965,39.7,81173.0,7.6,1127.0,2.32,905.0,0.864821882951654,0.4169278996865204,0.886874863507316,0.9076433121019108,1.0,9.94,37.0,0.0,247.7833404542,59802.13671875,0.6399999856949,9621.0,17.0,847.5,2.0,5.0
max,87809.0,64503.0,80124.0,156128.0,382411.0,68.4,8958.0,1.0,0.312242090784044,1.0,0.5976331360946746,61.8,244014.0,5217.0,5962.0,6.63,6436.0,1.0,1.0,1.0,1.0,2.0,34.49,1039.0,0.6829268336296,1142.0408935547,136017.421875,0.9534883499146,299600.0,425.0,77398.0,13.0,60.0
min,0.0,0.0,0.0,0.0,22.0,13.9,0.0,0.0,0.0,0.0,0.0,13.4,11612.0,0.0,0.0,1.02,0.0,0.2979942693409742,0.0,0.0454545454545454,0.0,1.0,4.66,11.0,0.0,0.0,2044.45935059,0.0,299.0,0.0,11.0,0.0,1.0

-----

metro_end
,mi_flm_count,mi_fm_count,mi_lm_count,ms_count,none_count,median_age,housing_units,prop_commute_drove,prop_commute_carpooled,prop_commute_pubtransit,prop_commute_walked,mean_commute_time,median_household_income,unemployment_rate,prop_no_vehicles,avg_household_size,households_with_children,prop_hs_grad,prop_college_grad,prop_same_house,prop_internet_subscription,urban_group,avg_vehicle_miles,num_streets,prop_prim_sec_roads,intersection_density,street_network_density,connected_node_ratio,avg_traffic,num_intersections,num_jobs,dock_count,stop_count
